timestamp,phase,url,http_status,total_time_seconds,succeeded
2026-04-23 19:57:58 +0500,baseline,http://localhost:8080/api/auth/login,200,0.215728,true
2026-04-23 19:57:58 +0500,downtime,http://localhost:8080/api/auth/login,200,0.096759,true
2026-04-23 19:58:00 +0500,downtime,http://localhost:8080/api/auth/login,000,0.000405000,0,false
2026-04-23 19:58:02 +0500,downtime,http://localhost:8080/api/auth/login,000,0.000172000,0,false
2026-04-23 19:58:04 +0500,downtime,http://localhost:8080/api/auth/login,000,0.000311000,0,false
2026-04-23 19:58:06 +0500,downtime,http://localhost:8080/api/auth/login,000,0.000408000,0,false
2026-04-23 19:58:08 +0500,downtime,http://localhost:8080/api/auth/login,000,0.000401000,0,false
2026-04-23 19:58:10 +0500,downtime,http://localhost:8080/api/auth/login,000,0.000375000,0,false
2026-04-23 19:58:12 +0500,downtime,http://localhost:8080/api/auth/login,000,0.000371000,0,false
2026-04-23 19:58:14 +0500,downtime,http://localhost:8080/api/auth/login,000,0.000353000,0,false
2026-04-23 19:58:17 +0500,downtime,http://localhost:8080/api/auth/login,000,0.000422000,0,false
2026-04-23 19:58:19 +0500,downtime,http://localhost:8080/api/auth/login,000,0.000386000,0,false
2026-04-23 19:58:21 +0500,downtime,http://localhost:8080/api/auth/login,000,0.000369000,0,false
2026-04-23 19:58:23 +0500,downtime,http://localhost:8080/api/auth/login,000,0.000450000,0,false
2026-04-23 19:58:25 +0500,downtime,http://localhost:8080/api/auth/login,000,0.000363000,0,false
2026-04-23 19:58:27 +0500,downtime,http://localhost:8080/api/auth/login,000,0.000253000,0,false
2026-04-23 19:58:59 +0500,recovery,http://localhost:8080/api/auth/login,000,0.000209000,0,false
2026-04-23 19:59:01 +0500,recovery,http://localhost:8080/api/auth/login,000,0.000421000,0,false
2026-04-23 19:59:03 +0500,recovery,http://localhost:8080/api/auth/login,000,0.000398000,0,false
2026-04-23 19:59:05 +0500,recovery,http://localhost:8080/api/auth/login,000,0.000254000,0,false
2026-04-23 19:59:07 +0500,recovery,http://localhost:8080/api/auth/login,000,0.000296000,0,false
2026-04-23 19:59:10 +0500,recovery,http://localhost:8080/api/auth/login,000,0.000358000,0,false
2026-04-23 19:59:12 +0500,recovery,http://localhost:8080/api/auth/login,000,0.000332000,0,false
2026-04-23 19:59:14 +0500,recovery,http://localhost:8080/api/auth/login,000,0.000337000,0,false
2026-04-23 19:59:16 +0500,recovery,http://localhost:8080/api/auth/login,000,0.000239000,0,false
2026-04-23 19:59:18 +0500,recovery,http://localhost:8080/api/auth/login,000,0.000205000,0,false
2026-04-23 19:59:20 +0500,recovery,http://localhost:8080/api/auth/login,000,0.000259000,0,false
2026-04-23 19:59:22 +0500,recovery,http://localhost:8080/api/auth/login,000,0.000264000,0,false
2026-04-23 19:59:24 +0500,recovery,http://localhost:8080/api/auth/login,000,0.000352000,0,false
2026-04-23 19:59:26 +0500,recovery,http://localhost:8080/api/auth/login,000,0.000405000,0,false
2026-04-23 19:59:28 +0500,recovery,http://localhost:8080/api/auth/login,000,0.000464000,0,false
2026-04-23 19:59:30 +0500,recovery,http://localhost:8080/api/auth/login,000,0.000404000,0,false
2026-04-23 19:59:32 +0500,recovery,http://localhost:8080/api/auth/login,000,0.000365000,0,false
2026-04-23 19:59:34 +0500,recovery,http://localhost:8080/api/auth/login,000,0.000399000,0,false
2026-04-23 19:59:36 +0500,recovery,http://localhost:8080/api/auth/login,000,0.000422000,0,false
2026-04-23 19:59:38 +0500,recovery,http://localhost:8080/api/auth/login,000,0.000339000,0,false
2026-04-23 19:59:41 +0500,recovery,http://localhost:8080/api/auth/login,000,0.000345000,0,false
2026-04-23 19:59:43 +0500,recovery,http://localhost:8080/api/auth/login,000,0.000371000,0,false
2026-04-23 19:59:45 +0500,recovery,http://localhost:8080/api/auth/login,000,0.000366000,0,false
2026-04-23 19:59:47 +0500,recovery,http://localhost:8080/api/auth/login,000,0.000349000,0,false
2026-04-23 19:59:49 +0500,recovery,http://localhost:8080/api/auth/login,000,0.000349000,0,false
2026-04-23 19:59:51 +0500,recovery,http://localhost:8080/api/auth/login,000,0.000443000,0,false
2026-04-23 19:59:53 +0500,recovery,http://localhost:8080/api/auth/login,000,0.000582000,0,false
2026-04-23 19:59:55 +0500,recovery,http://localhost:8080/api/auth/login,000,0.000343000,0,false
2026-04-23 19:59:57 +0500,recovery,http://localhost:8080/api/auth/login,000,0.000290000,0,false
2026-04-23 19:59:59 +0500,recovery,http://localhost:8080/api/auth/login,000,0.000240000,0,false
2026-04-23 20:00:01 +0500,recovery,http://localhost:8080/api/auth/login,000,0.000303000,0,false
